idx,cog,diff,aph
0,938.0,731.375,1082.0
1,1024.5,692.75,1088.75
2,1031.0,661.75,1049.75
3,1100.5,774.125,1155.75
4,927.5,789.5,1134.75
5,924.25,724.0,1005.5
6,886.125,677.875,1079.5
7,946.75,686.875,1117.25
8,1065.25,728.75,1143.0
9,1005.875,805.625,1131.0
10,972.0,700.125,1046.5
11,826.375,736.5,974.75
12,887.875,908.375,1054.5
13,823.75,871.5,971.375
14,970.25,865.375,996.0
15,761.25,774.125,916.0
16,921.25,702.625,996.5
17,816.75,746.375,950.125
18,897.125,794.625,1004.125
19,769.375,796.5,886.25
20,905.25,668.75,1015.5
21,948.75,914.125,1047.5
22,927.875,887.5,995.0
23,806.625,788.0,918.125
24,991.125,799.5,1027.75
25,917.875,947.75,1102.25
26,977.625,929.5,1031.75
27,879.375,776.125,934.125
28,927.5,860.125,1035.875
29,967.25,889.25,1015.875
30,1015.125,805.0,1024.375
31,903.875,769.75,1025.75
32,938.25,714.0,1048.25
33,942.75,813.375,1002.375
34,896.125,782.625,972.125
35,903.0,772.25,948.0
36,795.625,759.5,910.0
37,865.25,773.625,968.5
38,979.125,660.0,1025.125
39,894.75,773.0,1059.0
40,903.375,722.75,1091.0
41,958.625,829.0,1070.75
42,912.375,789.125,1007.75
43,934.875,859.125,1143.0
44,1020.75,785.375,1059.5
45,887.0,714.75,1060.0
46,1064.5,618.375,1067.0
47,988.5,719.75,1146.0
48,1012.625,706.25,1144.25
49,934.25,763.875,1115.875
50,998.375,745.5,1063.5
51,962.75,778.125,1164.0
52,1085.5,740.25,935.625
53,954.375,760.75,1063.625
54,898.375,642.0,1120.25
55,898.25,743.625,1132.25
56,940.125,706.0,1146.0
57,891.625,792.5,1098.5
58,944.0,741.0,1052.25
59,964.5,760.75,1113.5
60,1042.125,746.75,1080.625
61,916.125,733.625,1032.25
62,1050.75,659.625,986.875
63,937.25,729.25,1108.25
64,1099.0,708.25,1171.75
65,973.0,790.625,1081.75
66,999.875,760.75,1073.5
67,1157.5,764.0,1163.0
68,1004.125,754.5,1110.5
69,919.75,805.375,1064.75
70,991.75,699.375,1046.5
71,1080.25,800.25,1094.5
72,861.375,857.375,1027.75
73,901.125,790.875,1041.625
74,986.25,812.375,1016.25
75,1106.25,840.25,1198.5
76,839.5,743.75,1065.0
77,1110.0,765.0,1064.5
78,902.0,746.25,1273.5
79,1174.25,842.625,976.75
80,1024.125,853.0,1131.5
81,1132.75,872.5,1057.25
82,1101.25,850.125,1072.75
83,931.875,890.375,1098.0
84,707.875,704.25,752.625
85,1214.75,647.375,1176.0
86,1033.625,662.375,1200.5
87,1070.5,809.25,1161.75
88,1124.75,784.5,1103.5
89,920.0,838.125,1073.5
90,1145.75,721.75,1171.0
91,920.375,686.125,1185.75
92,1068.75,823.75,1030.5
93,1049.625,750.625,1072.25
94,919.625,775.375,1118.0
95,819.375,773.125,999.75
96,950.5,741.625,1020.125
97,906.25,773.75,1124.5
98,1099.75,849.375,1133.0
99,986.5,767.875,1147.5
100,1031.25,733.875,1176.25
